prompt_name,trial,score
assemble the cells,0,0.8500
assemble the cells,1,0.8500
assemble the cells,2,0.9500
assemble the cells,3,0.9500
assemble the cells,4,0.9500
assemble the cells,5,0.9500
assemble the cells,6,0.9500
assemble the cells,7,0.7500
assemble the cells,8,0.9500
assemble the cells,9,0.8500
assemble the cells,10,0.8500
assemble the cells,11,0.8500
assemble the cells,12,0.8500
assemble the cells,13,0.9500
assemble the cells,14,0.8500
assemble the cells,15,0.9500
assemble the cells,16,0.9500
assemble the cells,17,0.8500
assemble the cells,18,0.9500
assemble the cells,19,0.8500
assemble the cells,20,0.9500
assemble the cells,21,0.8500
assemble the cells,22,0.8500
assemble the cells,23,0.9500
assemble the cells,24,0.9500
assemble the cells,25,0.9500
assemble the cells,26,0.9500
assemble the cells,27,0.9500
assemble the cells,28,0.9500
assemble the cells,29,0.6500
