prompt_name,trial,score
bring all agents into a cluster,0,0.8500
bring all agents into a cluster,1,0.3500
bring all agents into a cluster,2,0.9500
bring all agents into a cluster,3,0.8500
bring all agents into a cluster,4,0.6000
bring all agents into a cluster,5,0.7500
bring all agents into a cluster,6,0.3000
bring all agents into a cluster,7,0.3000
bring all agents into a cluster,8,0.6500
bring all agents into a cluster,9,0.8500
bring all agents into a cluster,10,0.6500
bring all agents into a cluster,11,0.8500
bring all agents into a cluster,12,1.0000
bring all agents into a cluster,13,0.8500
bring all agents into a cluster,14,0.9500
bring all agents into a cluster,15,0.3000
bring all agents into a cluster,16,0.6500
bring all agents into a cluster,17,0.8500
bring all agents into a cluster,18,0.8500
bring all agents into a cluster,19,0.6500
bring all agents into a cluster,20,0.6000
bring all agents into a cluster,21,0.8500
bring all agents into a cluster,22,0.8500
bring all agents into a cluster,23,0.3000
bring all agents into a cluster,24,0.5000
bring all agents into a cluster,25,0.8500
bring all agents into a cluster,26,0.6000
bring all agents into a cluster,27,0.3000
bring all agents into a cluster,28,0.6500
bring all agents into a cluster,29,0.6500
