prompt_name,trial,score
clustering,0,0.8500
clustering,1,0.9500
clustering,2,0.9500
clustering,3,0.9500
clustering,4,0.8500
clustering,5,0.8500
clustering,6,0.8500
clustering,7,0.8500
clustering,8,0.9500
clustering,9,0.8500
clustering,10,0.9500
clustering,11,0.9500
clustering,12,0.9500
clustering,13,0.9500
clustering,14,0.9500
clustering,15,0.9500
clustering,16,0.9500
clustering,17,0.8500
clustering,18,0.9500
clustering,19,0.9500
clustering,20,0.8500
clustering,21,0.9500
clustering,22,0.8500
clustering,23,0.9500
clustering,24,0.9500
clustering,25,0.9500
clustering,26,0.9500
clustering,27,0.9500
clustering,28,0.9500
clustering,29,0.9500
