prompt_name,trial,score
could the objects be scattered away?,0,0.8500
could the objects be scattered away?,1,0.9500
could the objects be scattered away?,2,0.9500
could the objects be scattered away?,3,0.9500
could the objects be scattered away?,4,0.9500
could the objects be scattered away?,5,0.8500
could the objects be scattered away?,6,0.9500
could the objects be scattered away?,7,0.9500
could the objects be scattered away?,8,0.9500
could the objects be scattered away?,9,0.9500
could the objects be scattered away?,10,0.9500
could the objects be scattered away?,11,0.9500
could the objects be scattered away?,12,0.9500
could the objects be scattered away?,13,0.9500
could the objects be scattered away?,14,0.9500
could the objects be scattered away?,15,0.8500
could the objects be scattered away?,16,0.9500
could the objects be scattered away?,17,0.9500
could the objects be scattered away?,18,0.9500
could the objects be scattered away?,19,0.9500
could the objects be scattered away?,20,0.9500
could the objects be scattered away?,21,0.9500
could the objects be scattered away?,22,0.9500
could the objects be scattered away?,23,0.9500
could the objects be scattered away?,24,0.9500
could the objects be scattered away?,25,0.9500
could the objects be scattered away?,26,0.9500
could the objects be scattered away?,27,0.8500
could the objects be scattered away?,28,0.9500
could the objects be scattered away?,29,0.9500
