prompt_name,trial,score
drift apart from one another,0,0.8500
drift apart from one another,1,0.9500
drift apart from one another,2,0.8500
drift apart from one another,3,0.9500
drift apart from one another,4,0.9500
drift apart from one another,5,0.9500
drift apart from one another,6,0.6500
drift apart from one another,7,0.9500
drift apart from one another,8,0.9500
drift apart from one another,9,0.9500
drift apart from one another,10,0.9500
drift apart from one another,11,0.9500
drift apart from one another,12,0.9500
drift apart from one another,13,0.9500
drift apart from one another,14,0.9500
drift apart from one another,15,0.9500
drift apart from one another,16,0.9500
drift apart from one another,17,0.9500
drift apart from one another,18,0.9500
drift apart from one another,19,0.9500
drift apart from one another,20,0.9500
drift apart from one another,21,0.9500
drift apart from one another,22,0.9500
drift apart from one another,23,0.9500
drift apart from one another,24,0.9500
drift apart from one another,25,0.9500
drift apart from one another,26,0.9500
drift apart from one another,27,0.9500
drift apart from one another,28,0.8500
drift apart from one another,29,0.8500
