prompt_name,trial,score
scatter apart,0,0.3500
scatter apart,1,0.8500
scatter apart,2,0.3000
scatter apart,3,0.9500
scatter apart,4,0.3500
scatter apart,5,0.6500
scatter apart,6,0.9500
scatter apart,7,0.9500
scatter apart,8,0.8500
scatter apart,9,0.9500
scatter apart,10,0.9500
scatter apart,11,0.3000
scatter apart,12,0.2500
scatter apart,13,0.6500
scatter apart,14,0.9500
scatter apart,15,0.9500
scatter apart,16,0.8500
scatter apart,17,0.9500
scatter apart,18,0.3500
scatter apart,19,0.8500
scatter apart,20,0.9500
scatter apart,21,0.6500
scatter apart,22,0.3500
scatter apart,23,0.6500
scatter apart,24,0.8500
scatter apart,25,0.9500
scatter apart,26,0.3500
scatter apart,27,0.3000
scatter apart,28,0.6500
scatter apart,29,0.8500
