prompt_name,trial,score
scattering,0,0.9500
scattering,1,0.9500
scattering,2,0.2500
scattering,3,0.9500
scattering,4,0.6500
scattering,5,0.8500
scattering,6,0.8500
scattering,7,0.6500
scattering,8,0.9500
scattering,9,0.8500
scattering,10,0.8500
scattering,11,0.9500
scattering,12,0.8500
scattering,13,0.9500
scattering,14,0.3000
scattering,15,0.8500
scattering,16,0.8500
scattering,17,0.8500
scattering,18,0.8500
scattering,19,0.2500
scattering,20,0.8500
scattering,21,0.8500
scattering,22,0.8500
scattering,23,0.6500
scattering,24,0.8500
scattering,25,0.8500
scattering,26,0.8500
scattering,27,0.3500
scattering,28,0.9500
scattering,29,0.5000
